Scenario,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S1,-0.1563820445227293,-197.65234620349048,-25.603385635818654,9.932609544762272,126.1613516491451,156.17506062785225,129.26239422405672,55.143924691016366,41.790899517394564,50.99532651044569,27.25910444922741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,-1.125017072908463,-196.3310864972101,-154.85849958410824,-165.91765179294526,-107.00070951580898,-71.00135072862557,36.33000518328444,1.200094866302237,-80.5763449946415,-27.637796616699184,-84.13462939704219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,-1.78652321775985,-196.53393899765348,-165.3142079804084,-160.71243074785002,-107.6195785324714,-71.14751619719684,31.04201857935962,-10.114174480381877,-92.85184852866912,-43.55839471152834,-93.97337294841623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4,-1.505639612780385,-195.8232991914386,-165.56614886923882,-160.83739045966894,-104.07341165107198,-72.59737450820225,19.538092367064053,-33.96157417336454,-95.96692705903465,-46.647182122530495,-102.74015879250965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,-1.090834391312967,-196.85730454019534,-165.8061956735466,-160.68660332327767,-138.33823924723276,-73.94294709845894,25.857848656787752,-42.732216340475304,-107.47032405387458,-52.1520409429419,-107.3796573219572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,-1.1706632300416686,-196.77595588355246,-165.84696647726105,-160.7673474852831,-138.16837890653488,-72.93505968043235,27.573743997788114,-42.870231260785374,-112.91128739613221,-54.07582274888334,-116.84622730574512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,-1.2354950150026411,-196.96441475880988,-165.78010103513208,-160.7356002324707,-138.41852403741228,-73.09373881813386,27.426562153216594,-42.770263572819545,-114.33642756824902,-56.10157756845435,-118.79436346619121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8,-1.0015384978316888,-197.0707297165717,-165.81690890181022,-160.71866125715673,-138.40712654476306,-73.5029511563674,27.44841710208945,-42.6975085317558,-113.82078469528523,-55.86984009355778,-118.89309025984396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S9,-84.38342323599812,-295.00507725965264,-96.07763284963511,-101.67798747395551,31.664391761175636,98.35345706547116,83.89262594365476,53.450286349644216,48.95378210031609,45.17097325060604,17.94963912842329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S10,-194.79335692734878,-400.34388883315586,-335.92262955390595,-369.8801358162953,-243.19849376545477,-195.83211633453956,-100.41174626755378,-53.59476637780247,-108.28277595489588,-50.83139503443945,-89.86714458299927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,-262.63189131599773,-482.84986235809413,-445.92749501399,-404.1093638498481,-324.88869098961715,-228.9457218400024,-166.4661230295188,-90.38984638236514,-128.88075997944702,-70.84030460200985,-112.65157105455614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12,-319.9334387992323,-591.352653518328,-486.0178568596538,-474.65019519219,-387.71570470711225,-273.3980085570629,-195.76917013187511,-133.1065879740514,-135.93929037858743,-91.3830641195652,-126.96925450058005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S13,-361.37600690575056,-652.5240393039553,-537.4921870855403,-512.7104835515227,-448.5128885861158,-296.9322475899787,-208.218500227769,-159.95914517696264,-143.52292489877703,-112.38288501502502,-136.68819522914254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S14,-389.7105070860576,-687.0923693878126,-569.1155624637361,-548.8592618449602,-472.9753542160893,-326.2846534341435,-216.91457615472842,-166.41965053503327,-159.4723465205501,-123.82173495071669,-154.6927133422562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S15,-393.3640515778407,-691.4115519873505,-572.6354687761911,-557.4714499590173,-482.67552447735795,-334.8749122736976,-226.34675559861606,-183.40355810723352,-168.7400997616013,-132.97117816572967,-172.72836172516514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S16,-393.3246369533663,-692.6134433595053,-573.7979466524052,-558.208333989505,-494.2393725921903,-336.2149237472991,-227.60893188091558,-185.7751493565658,-172.50327666381617,-135.65771653760362,-174.33583144048902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
