Scenario,Total System Cost,CO2 Emissions,Grid Development,Biomass Power,Battery Power,Hydrogen Power,Imbalance Power,Flexibility Usage,Hydrogen 2045 Energy,battery 2045 Energy,Biomass Utilization 2045,Renewables Investments,Peak Reduction,RES Curtailment,Spot Market,Grid Loading,Total Imbalance,Imbalance Peak,Biomass Utilization,Fossil Fuel Utilization,SME Usage,SME Money,Flexibility Investment,Flexibility Potential,Flexibility Cost,Flexibility Duration
S1,445862316963.7528,1786.2600439681194,280301.2248601767,4523.512966040387,70690.2010827433,68425.67769633501,53741.29273048828,89892762.69476822,35916413.13779399,52212253.37277127,1764096.1842029763,421.7463062467019,-6.426289333763302,3407213365.885581,36.25414902426507,28.573097167526026,6981019.308899634,53.74129273048828,1119.4074962188884,3053.54756000158,-3.178474363583376,-268.7114021786923,95536.38186715674,20.0,100.0,1.0
S2,445233938261.254,1783.9215647222866,282202.9515042515,4484.967422281441,70685.09491651173,68473.69294144638,53248.520226526096,89938994.79430355,36196538.912775,52025463.22911549,1716992.652413054,421.26468096453897,-6.903526795298555,3415976225.810562,36.08328396118311,28.937045192403808,6746487.158595459,53.2485202265261,1116.9949593289136,3047.7863740017538,-5.913358724378629,-499.11421346952505,95819.04540220342,20.0,100.0,2.0
S3,445276124635.8044,1783.540410502908,282226.7994606647,4484.837741961762,70617.22108899134,68452.25861133277,52326.86472003676,90206051.80339284,36300753.60523792,52185201.97077727,1720096.2273776312,421.2881343007027,-6.893406955958993,3414313096.576817,36.1338376945035,29.190742095560218,6763603.744417342,52.32686472003677,1117.0521135360882,3046.652344715486,-7.77058740901028,-654.739282304332,95621.59632459746,20.0,100.0,3.0
S4,445254761684.74646,1783.2338683627693,282210.51556548034,4481.194984374652,70572.97104806334,68396.1480188057,52440.63056966511,89769216.57344157,36185824.69944051,51866944.70015922,1716447.1738418266,421.2368673674296,-6.8885379374205895,3414101851.375476,36.11417275709532,28.87418427501266,6754539.813990078,52.44063056966511,1116.687650023138,3045.6800543671034,-9.054860149616909,-762.3410604166031,95620.29203727782,20.0,100.0,4.0
S5,445260329093.0827,1783.0241098934498,282283.08326144464,4480.549116676274,70556.86697586137,68286.18283064086,52836.47595317403,90951956.99062307,36651203.58660547,52590327.12847213,1710426.275545475,421.2876402971005,-6.886276191600359,3413987499.7672873,36.1007713983958,28.98451850791865,6740523.71350415,52.83647595317403,1116.578686691673,3045.069819099937,-10.07373416763506,-847.3863326160191,95688.63162755943,20.0,100.0,5.0
S6,445241378864.19073,1782.8803222469485,282188.13469710806,4479.681143563594,70554.94850838395,68291.81197834443,52930.07543903815,89785926.65528189,36163307.5341224,51912275.92871442,1710343.1924450656,421.3651769975821,-6.888130377669037,3414783988.2536297,36.11047210579813,28.79345942967637,6737053.3411703855,52.93007543903815,1116.395741641424,3044.611647112108,-10.57581670972713,-889.0232855555299,95688.93035328764,20.0,100.0,6.0
S7,445213544267.6668,1782.8224539113098,282955.39235631714,4480.965235087595,70566.44870003771,68290.808328144,52838.27102427637,89660048.28473677,36112866.30270584,51835910.132844165,1711271.8491867566,421.3499826769832,-6.888900321984531,3414453653.172995,36.11009592729902,28.66371897748604,6735805.774038222,52.838271024276374,1116.4414802657795,3044.426893684946,-10.721250806052925,-900.9337325788277,95826.37712877258,20.0,100.0,7.0
S8,445151372908.85913,1782.8293453312706,284930.15000194195,4479.876145084829,70561.19074206732,68287.0756340608,52914.50129751105,90010691.86860518,36236444.01955053,52069322.06213999,1704925.7869146666,421.3896763007996,-6.891667787250288,3414870581.1092277,36.139260760715324,28.43240153813328,6737697.893884756,52.91450129751105,1116.3678261434948,3044.4506998862826,-10.749039379978667,-903.1317627436562,96234.55876413318,20.0,100.0,8.0
S9,445835557381.00085,1785.535147063168,280304.7661117271,4523.521062374447,70643.60135882537,68455.76184700523,53406.90814068273,89649605.13469975,35850388.60264138,52035524.82144767,1763691.7106107092,421.7186199264606,-6.453279639221278,3405985375.2717075,36.26144807589756,28.293829395846306,6968245.80014282,53.40690814068273,1119.2106858700522,3052.9488334273537,-4.916934599993554,-299.6317818534481,95466.91170412298,20.0,70.0,1.0
S10,445058798561.8153,1782.2313423338046,282251.1944123858,4464.7555155506325,70602.71354371893,68472.62799336726,52952.24839327388,90028119.51353145,36238674.807534695,52082667.45031324,1706777.255683506,421.57921944950834,-6.932244227725441,3418065625.247688,36.10095434431934,28.90444373637261,6761015.078311047,52.952248393273884,1114.5494751077347,3046.2845442973035,-9.366557669552744,-570.6347010866209,95748.7079716593,20.0,70.0,2.0
S11,444988603627.0548,1781.11212091495,282253.7941623903,4452.687408066926,70526.2001000044,68444.7475324688,52495.80615337913,89904419.3791924,36221996.010942735,51978394.35998186,1704029.0082678008,421.28908207135646,-6.92011324966597,3416637438.566932,36.088586349061806,28.69232958345093,6773758.282232673,52.495806153379135,1113.4479085434396,3044.288777968032,-12.492290624791845,-759.6438591747292,95634.64707126192,20.0,70.0,3.0
S12,444905057973.8333,1780.1383016054983,282257.98796542134,4448.250477561612,70481.80869678967,68442.92837766244,52347.19351737566,89869083.01201387,36257196.21133798,51908632.64716732,1703254.1535085584,421.0018784660429,-6.92409875080567,3414328595.154354,36.066785434998785,28.89065885218648,6780576.670843878,52.34719351737566,1112.814150447782,3042.366763148385,-14.68982189192524,-892.5310900486157,95595.63380696214,20.0,70.0,4.0
S13,444921139638.0969,1779.7413871236815,282334.2276064651,4443.906473226424,70414.1114980288,68301.80888799098,53403.87852369974,89723964.44346955,36188586.87643982,51842834.390288845,1692543.1767408904,421.0254455210994,-6.909027122957861,3415983190.5924606,36.09703333742674,28.917670223024597,6764288.404361041,53.403878523699746,1112.200619639779,3041.878262728652,-16.501921894410234,-1002.1240140031331,95779.58659788223,20.0,70.0,5.0
S14,444925588159.14575,1779.3483363642686,282300.46939695993,4441.237214375396,70400.97046303097,68276.50327973318,53494.36110174485,89604768.36710937,36130852.12264186,51783607.666176334,1690308.5782911736,421.33699900508543,-6.905770394163464,3416659198.1238112,36.065413988185725,28.828456889162,6785238.597276001,53.49436110174485,1111.9582480297192,3041.3203342828606,-17.657604129113793,-1071.778873214819,95782.70829116888,20.0,70.0,6.0
S15,444905016335.3204,1779.2502031931233,283057.97999514465,4440.911465169802,70446.32238353384,68228.23195612433,52540.6796391955,89662246.41105862,36115508.43072832,51853778.338188566,1692959.6421417403,421.34658213283217,-6.903677002890259,3417004258.183438,36.07976569312721,29.13934108930292,6792194.301714617,52.5406796391955,1111.8249957802361,3041.1934215854308,-18.025443279952245,-1093.3318602792144,95742.82508783363,20.0,70.0,7.0
S16,444844865253.9935,1779.2299795981664,285051.0994387216,4440.958652515776,70454.6866592815,68222.97780170005,53025.19552864966,89752778.43976507,36143617.31832239,51924718.76839896,1684442.3530436992,421.3731348188324,-6.903421526560419,3417324772.872739,36.089486132489085,28.573708193743443,6794757.45656617,53.02519552864966,1111.7835923973514,3041.167945182268,-18.08695541128405,-1096.8665891597507,96238.98361617372,20.0,70.0,8.0
S17,445758533245.77,1785.2281966612002,280267.8083654993,4523.437500121595,70629.39378527658,68433.63505635381,54114.95371965523,89763604.29966491,35882552.30250867,52118857.464670494,1762194.5324857472,421.4871184391235,-6.456726244051525,3405974054.458193,36.24360492754689,28.43149849400779,6991173.78212144,54.114953719655226,1119.0781396237433,3052.7348494371718,-5.966186232458623,-260.17627328934043,95593.8456853813,20.0,50.0,1.0
S18,444786183326.09033,1781.0857678230489,282190.3861861441,4500.696121982898,70510.76847340286,68500.14436952808,52227.58265500496,89846922.83026609,36245724.4208782,51877357.89367972,1723840.5157081569,420.5412009092217,-6.959833451373622,3412122933.293212,36.10948749712968,28.505280339459425,6753406.577204305,52.22758265500496,1115.8471054341458,3043.665502764795,-11.379646971160431,-496.13735967057175,95585.91556121256,20.0,50.0,2.0
S19,444639598221.7319,1779.9313494704113,282235.83113491745,4487.146702074769,70424.66494628313,68394.86241877952,52322.34301565792,89908945.50391212,36284690.10068421,51909707.47182708,1714547.9314008418,420.49648649197263,-6.9466481110744365,3412966610.358341,36.099368128514286,28.87030469433246,6763603.367550956,52.32234301565792,1114.2443807509378,3041.530262932127,-15.460805620261768,-673.2081701723725,95572.96964354256,20.0,50.0,3.0
