,Solar Actual Installations,Onwind Actual Installations,Offwind Actual Installations,Hydrogen Actual Installations,battery Actual Installations,Solar Average Installations,Onwind Average Installations,Offwind Average Installations,Hydrogen Average Installations,battery Average Installations,Solar 2045 Average Installations,Onwind 2045 Average Installations,Offwind 2045 Average Installations,Hydrogen 2045 Average Installations,battery 2045 Average Installations,Hydrogen 2045 Energy,battery 2045 Energy,Hydrogen 2050 Energy,battery 2050 Energy,Hydrogen 2050 FLH,battery 2050 FLH,Solar Generation,Onwind Generation,Offwind Generation,Solar Peak Installation,Onwind Peak Installation,Offwind Peak Installation,Solar 2045 FLH,Onwind 2045 FLH,Offwind 2045 FLH,Solar 2050 FLH,Onwind 2050 FLH,Offwind 2050 FLH,2030_RES Total Share,AC Grid Development Factor,DC Grid Development Factor,AC Grid Development,DC Grid Development,AC Grid Loading,DC Grid Loading,CO2 Emissions,Total System Cost,DC 2045 Power,AC 2045 Power,Biomass 2045 Power,Battery 2045 Power,Hydrogen 2045 Power,Load Shedding Peak,Load Shedding_2045,Load Shedding_before,Load Shedding_after,Biomass Utilization 2050,Biomass Utilization 2045,Flexibility 2050 Max Usage,Flexibility 2045 Max Usage,Flexibility Max Usage over the years,Flexibility Average Usage,Flexibility 2045 Average Usage,Flexibility Before Average Usage,Flexibility After Average Usage,Flexibility Before Max Usage,Flexibility After MaxUsage,Flexibility Potential,Flexibility Cost,Flexibility Duration,DSM Total Capacity
S1,180.31750544644274,224.1049933349908,17.323807465268395,68425.745911121,63122.193573214405,6.010583514881424,7.470166444499694,0.5774602488422799,2280.8581970373666,2104.073119107147,5.562216241513743,6.12804656965428,0.6929524224482213,1857.0266525741192,1947.607273748846,35916413.13779399,52212253.37277127,24933395.54100035,61115046.831451185,364.38610137332745,968.2019088708444,319.7159611741984,419.094310381142,12.306958686485995,43.99997361460527,41.57595943825362,11.61655094187109,1234.7590435585016,1898.2971682982575,1181.8199637225023,1228.621401461984,1425.7543223475707,534.6953676535618,66.79,1.173111409548132,1.0001331556173585,40094.733243364346,1.1451386315438867,28.573097167526022,60.51760733249406,1786.2600439681194,445862316963.75275,8600.786918227683,271700.437941949,4523.512966040387,70690.2010827433,68425.67769633501,53741.292730488276,6587079.244379943,0.0194823675750465,393940.045037323,1764096.1842029765,1764096.1842029765,41.43268295643653,99.90214380216105,80.43583877675606,1.8525950157570332,0.8936940080919762,2.2142387369425762,0.3457461774839377,82.16537338341783,73.22944458233204,20.0,100.0,1.0,1540.86496581027
S2,180.89383689816324,223.1127537505583,17.258090315817423,68473.71994152523,63345.918248644375,6.029794563272108,7.437091791685277,0.5752696771939141,2282.4573313841743,2111.5306082881457,5.585267783005711,6.1193766293539715,0.6903237437248141,1858.9473174511825,1947.403136366135,36196538.912774995,52025463.22911549,25197258.357455052,61330705.13759993,367.9843033603043,968.1869162149727,320.38129061849844,418.5911874084738,12.553205719286604,43.999969378401175,41.57610612092222,11.580648928466761,1234.769764439649,1901.0079490477794,1170.548876581138,1228.457286513176,1428.8657898840877,546.9556404161843,66.93,1.1813377268364356,1.0002388072174764,42000.05401042709,2.0537423491859954,28.937045192403808,63.02309013927656,1783.9215647222866,445233938261.254,8602.054910190807,273600.8965940607,4484.967422281441,70685.09491651173,68473.69294144638,53248.520226526096,6389609.764509014,0.0183849241202214,356877.3757015203,1716992.652413054,1716992.652413054,80.4402498051153,94.14844548703365,84.5906247181376,3.385265766403757,1.547691638211812,4.040318692169207,0.6558785757143782,84.00004301488903,87.0513818150067,20.0,100.0,2.0,1540.86496581027
S3,180.90031832037852,223.0993219413976,17.288494038926633,68451.87636867804,63289.233157288545,6.030010610679284,7.436644064713253,0.5762831346308878,2281.729212289268,2109.6411052429517,5.585535932165052,6.114442475383842,0.6915399051423939,1858.0898334712872,1944.6879523263822,36300753.605237916,52185201.97077727,25206578.633403577,61339770.52964398,368.2378661249974,969.1972251449445,320.3848609066378,418.5829849071273,12.567009945054728,43.99997025393358,41.576637044925576,11.580603107169699,1234.5644786438427,1902.7223522028087,1172.7337250110825,1228.4336561245473,1428.9004613263758,546.8326585757472,66.94,1.1813796716411038,1.000843936649715,42009.789054991736,7.25786353669173,29.190742095560218,61.57773508614899,1783.5404105029081,445276124635.8044,8607.054863035059,273619.74459762964,4484.837741961762,70617.22108899134,68452.25861133277,52326.864720036756,6401526.908612814,0.0318350688265582,362076.8039694598,1720096.2273776312,1720096.2273776312,99.98673151194174,100.0000181128892,86.97183615817242,4.234247300800722,2.211900325506156,5.026428517200609,0.9334922324678624,84.00036678138441,99.35295856145575,20.0,100.0,3.0,1540.86496581027
S4,180.84063867294066,223.10344540683954,17.292783287649474,68395.97821478052,63259.05171472042,6.028021289098022,7.436781513561318,0.5764261095883157,2279.8659404926843,2108.6350571573475,5.583146123370507,6.117405888862224,0.6917114775781243,1855.8453854922427,1942.9180033933264,36185824.69944051,51866944.70015922,25204356.895700783,61282041.10107337,368.5063391212391,968.7470679827735,320.31831460971483,418.63884416523206,12.566993082830132,43.99996772381934,41.57657968925571,11.580622957988536,1234.807922122679,1901.2188111684875,1170.4193573807456,1228.4626005742464,1429.0712417160712,546.7298885509314,66.95,1.1813298831228003,1.000367250865172,41998.25207402476,3.158360675555741,28.87418427501266,62.635626622270514,1783.2338683627693,445254761684.74646,8601.300101340727,273609.2154641396,4481.1949843746515,70572.97104806334,68396.1480188057,52440.63056966511,6395580.054599324,0.027400481831995,358959.73199027294,1716447.1738418266,1716447.1738418266,99.99999244602724,100.0000303388839,87.09703779391242,4.716472879105056,2.466880057548102,5.602932831179699,1.0228897454607024,84.00037259400985,99.99980946017324,20.0,100.0,4.0,1540.86496581027
S5,180.8924344015636,223.07351369999822,17.321692195538667,68286.2258351181,63239.32426089143,6.029747813385454,7.435783789999941,0.5773897398512889,2276.20752783727,2107.9774753630477,5.585214270848071,6.119876188708563,0.6928677911138925,1851.446916172674,1942.273859226105,36651203.58660547,52590327.128472134,25148428.00864218,61357233.4805675,368.27958440585263,970.2382917960339,320.40829254457174,418.5443616540554,12.528992617040222,43.99996405585222,41.57597549893222,11.580647046007151,1234.1513570256093,1905.7718704685983,1170.4344400846367,1228.5673732254988,1428.8971684212106,544.3920050767314,66.96,1.1816486315033363,1.0001773601099058,42072.06482626774,1.5252983088339533,28.984518507918654,61.09721894795138,1783.0241098934498,445260329093.0827,8601.527472294969,273681.55578914966,4480.549116676274,70556.86697586137,68286.18283064086,52836.47595317403,6385214.211407212,0.0211903851394587,355309.48090655275,1710426.275545475,1710426.275545475,99.99999204208312,100.000131063216,87.09702130036789,5.068005321494219,2.812508765455739,6.016368202174845,1.116493318658281,84.00030295483805,100.00001440674221,20.0,100.0,5.0,1540.86496581027
S6,181.00617680210183,223.07074050045054,17.288259695029765,68291.82395610123,63236.43957998764,6.033539226736727,7.435691350015018,0.5762753231676588,2276.394131870041,2107.881319332921,5.589762316488064,6.12057024023407,0.6915305258530101,1851.6719738235736,1942.1971072015454,36163307.5341224,51912275.928714424,25175624.541660927,61398698.470385455,368.6476341804304,970.9382558278082,320.5518169410805,418.4220785385231,12.55089375894531,43.99996717666349,41.576095095967986,11.580646733359092,1234.921341406323,1899.8008333528162,1168.8351513718712,1228.5818873318517,1428.493191237556,546.1369700609484,66.96,1.1812373924103077,1.0000715948596868,41976.836025327706,0.6157169781454286,28.79345942967637,61.637757182941954,1782.8803222469483,445241378864.19073,8600.632055590446,273587.5026415176,4479.681143563594,70554.94850838395,68291.81197834443,52930.07543903815,6382544.8252213225,0.022937548491544203,354508.4930115146,1710343.1924450656,1710343.1924450656,99.99999244638946,100.0000451139116,87.0970459909384,5.225437920769825,2.760482430514433,6.207731117004413,1.1325496031257096,84.0003367183796,100.00000129326662,20.0,100.0,6.0,1540.86496581027
S7,181.01305603444115,223.06140936583256,17.275517276709472,68290.79167095992,63247.07835518097,6.033768534481371,7.435380312194419,0.5758505758903157,2276.359722365331,2108.2359451726993,5.590039826470063,6.120534908909201,0.6910208065295015,1851.6317972931533,1942.657058495105,36112866.30270584,51835910.132844165,25154413.63207241,61434771.90817763,368.3426028903836,971.3452697353694,320.56086173128364,418.4157416726862,12.528888011797257,43.99996239782064,41.57591883490841,11.580638986196451,1235.0289173946164,1899.3268956392874,1167.9542524275055,1228.5826839655913,1428.5170134035968,545.4818660414518,66.96,1.1845479996155088,1.0000337590014805,42743.61539539808,0.2903282535917242,28.66371897748604,62.327002070524586,1782.8224539113098,445213544267.66675,8600.24030814171,274355.15204817546,4480.965235087595,70566.44870003771,68290.808328144,52838.271024276364,6382080.988024081,0.024604376998783397,353724.7614097636,1711271.8491867566,1711271.8491867566,99.99999253717336,100.0000313197228,87.09709452442804,5.2800747282491916,2.793156750146303,6.270935699638952,1.1514873474585283,84.00039754456324,99.999998607198,20.0,100.0,7.0,1540.86496581027
S8,181.02999755270505,223.0783562826871,17.281322465407445,68286.79770338732,63242.15157909034,6.034333251756835,7.435945209422903,0.5760440821802482,2276.226590112911,2108.0717193030114,5.59071600393083,6.120238104970843,0.6912530172942661,1851.4825715689233,1942.4468714370596,36236444.01955053,52069322.06213999,25171187.660349954,61436497.16960989,368.6098003544639,971.4482721060609,320.5750665198273,418.4357633187126,12.520876907288722,43.99997162106689,41.575809720719576,11.58062435887718,1234.7962975382402,1900.6310713569567,1168.9049526587414,1228.5600242204182,1428.5032240793928,544.995350069383,66.96,1.1930704999466424,1.0000356764381588,44717.50812431885,0.30681768724934955,28.432401538133277,61.698332527254685,1782.8293453312706,445151372908.85913,8600.3157615157,276329.83424042625,4479.876145084829,70561.19074206732,68287.0756340608,52914.50129751105,6383915.333148595,0.025897112612432,353782.53483904776,1704925.7869146666,1704925.7869146666,99.99999766238763,100.000056756562,87.09712624618852,5.291402566772862,2.881878730603206,6.278798636675235,1.1772522755129742,84.00043479112243,100.00000730896396,20.0,100.0,8.0,1540.86496581027
S9,180.35222031418112,224.03889366253426,17.327505949745202,68455.78799143313,63129.743674062396,6.011740677139371,7.467963122084475,0.5775835316581734,2281.8595997144375,2104.324789135413,5.564535900842336,6.1276082676904835,0.69310035038904,1858.2299555277139,1945.7432513576173,35850388.60264138,52035524.82144767,24932942.158316568,61139966.61989908,364.2195602190226,968.4808411191839,319.7692706516152,419.03121939288224,12.322675498514641,43.99997051430117,41.58796055525795,11.655395753197375,1234.8903374816728,1897.1495367908851,1181.3076974014562,1228.622237948722,1425.8128845369572,535.2921867849228,66.8,1.1731503801497902,1.0000437331138463,40103.771168840176,0.3761049333079427,28.293829395846302,61.871490389095904,1785.5351470631679,445835557381.00085,8600.296133966216,271704.46997776086,4523.521062374447,70643.60135882537,68455.76184700523,53406.90814068273,6576809.317845698,0.0207504216991864,391436.4615466992,1763691.7106107092,1763691.7106107092,40.62580419688575,99.97309710236905,94.903143997775,3.154593433867614,0.8993119918174456,3.8286538458975707,0.3460083837427939,99.85380013520087,74.27541009183396,20.0,70.0,1.0,1540.86496581027
S10,181.0841550930971,223.18919739724717,17.30586695916403,68472.64244864511,63331.230948378536,6.036138503103237,7.439639913241573,0.5768622319721344,2282.421414954837,2111.0410316126176,5.595791898798568,6.116665493831473,0.6922347782827053,1858.9046590942316,1944.1078233023932,36238674.807534695,52082667.45031324,25143376.409460485,61493691.69015437,367.2031735460171,970.984985822218,320.6351151974897,418.32975949873446,12.543928512020528,43.99997341456694,41.58459650450527,11.580641081105114,1234.5528998852308,1900.4147029407773,1170.7401577583537,1228.3823895252053,1427.6003460327192,545.4160287208505,66.98,1.1815228417361356,1.0002016550021862,42042.930242576054,1.7342331123527401,28.90444373637261,61.01611917611238,1782.2313423338046,445058798561.81525,8601.73469703354,273649.4597153523,4464.7555155506325,70602.71354371893,68472.62799336726,52952.24839327388,6397949.143586257,0.022529085010505802,363065.91219570534,1706777.255683506,1706777.255683506,80.43256051546123,97.33734881401078,97.93690032689308,5.913610495675374,1.6245075634447,7.172334302502236,0.6689279672301164,99.99975795088245,89.34166022693732,20.0,70.0,2.0,1540.86496581027
