Scenario,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S1,0.2645796071760742,63.4234428269167,92.15902002728882,57.73064139526696,55.23792936279648,62.9291177036464,97.40258012198666,54.36088257904004,54.91579626011145,107.52469835813372,80.26744453559331,-32.95886732129105,36.626621597172004,148.91943204984415,126.96314288638888,178.93746818276668,168.86757380452622,132.03445206111653,135.58894697334622,124.47929292720517,164.98181965427517,93.9331883904324,91.22395312544928,79.62721917411919,51.09369594370094,41.762799624364135
S2,0.31018973634644453,70.07361925843014,76.74825760850723,8.645473510348722,8.811518100053206,-35.90901122954193,35.88163473741446,10.348327966916315,-10.95183680567402,76.05633500375575,-36.800481220502945,22.881330895700103,13.271947886899227,-96.46404051529345,-5.817994664383264,-48.21789985365399,-66.08288684024188,-80.99110819642164,-42.20435736027639,-5.9559627574650165,-12.562768665005386,4.76510553907783,-8.994992284902859,-7.804657616241384,-7.909181010772093,-5.340732165558526
S3,0.12327802280509559,70.03505547651656,72.27708290896828,10.700312318903116,8.582281150019355,-35.220492767678024,31.233914093590442,8.119713382590987,-15.491279741574715,67.76834570597856,-36.786952576733256,25.102218899270667,31.398312319609545,-76.11262619189318,-6.437323546165885,-29.989769570661906,-76.2355389657614,-88.40576088653762,-43.73191385690589,7.368015053838661,1.9286583861939377,6.941865202944486,-6.847133910934833,-5.491711212340711,-5.126277048126626,-2.2371572009809437
S4,0.20968273208410437,70.23718862541983,71.99408900947901,10.628278450639073,8.434150048039157,-61.07004695562068,1.9627850024406257,-29.351312922564432,-36.57582590594188,46.22382999594521,-61.819331898171015,3.4498584362552265,5.466896059509452,-94.08652410500906,-13.437282930553351,-47.9199402005932,-93.53526879045049,-109.45287237604973,-56.522048587467566,-21.701698566662486,-14.600956178514757,4.080323389130003,-10.178184703608872,-8.57146851899393,-9.074537317119713,-5.886210736785413
S5,0.31267268364132406,69.85773804385786,71.9332044004446,10.676437088001478,-5.887697295932526,-67.19819356233359,1.573979866151376,-35.02504144721996,-45.225169717220126,42.26709961975672,-63.351748134294894,-6.499873920176924,0.9424548273813116,-102.45349054244457,-5.2108305645077735,-27.743601373991567,-92.56433927365038,-112.32984422183989,-61.55878508350554,-76.02259825126012,-8.499048435325562,-1.329635445442623,-12.915062131509503,-11.170104463045005,-10.942261704704581,-11.907109033137075
S6,0.3248081560514038,69.89614322065307,71.90439320557829,10.665191397485785,-5.788514693918501,-71.8784684783671,-2.611584123819455,-38.396987199334376,-53.779084587930015,38.48381627626907,-77.5762566945346,-10.112103800338446,-12.575888409102731,-102.19762287307077,-15.731339790669097,-33.71540828585751,-99.50279919156557,-119.97187597754433,-65.4341544678374,-141.80052968371726,-28.85085361181261,-1.777100242514651,-14.033602094913222,-13.297629909058806,-13.545849715179692,-11.990192133546351
S7,0.2853571827117207,69.81958664297849,71.9013239751547,10.630422961554586,-5.723206458924324,-69.83135453016587,-0.7026408451196176,-35.93814298300657,-51.091377420434014,42.49301654983384,-76.34439163185647,-11.134161323326452,-10.30092948811756,-97.62248030576615,-10.025963838167229,-26.364863291838958,-95.93944757076756,-116.59782037713029,-58.748640912643424,-151.22041446961276,-28.704515325195246,-0.6396690322580945,-12.060711799634083,-11.186682695218941,-11.426136632095796,-11.061535391855282
S8,0.3629523508905663,69.80508562274679,71.9510389678959,10.68033095965859,-5.849652515713899,-71.18274340023589,-1.7086901132969956,-36.85356168093534,-51.980732024830445,41.711032087953015,-77.39524893364091,-11.102696010155455,-10.871569467340692,-100.8883590404892,-15.61325873901609,-35.224212494689766,-101.17113116751142,-121.84759468151896,-64.86316923428248,-162.8673675369008,-26.24180980354396,-2.5694854655742283,-12.360081642665222,-18.77913835222933,-19.09490841494388,-17.40759766394584
S9,0.17160525588622022,54.93937359943146,94.29319974445605,40.800567736432924,43.96363978671047,61.462038434790145,98.42436025540025,69.93513830125409,70.9870508390722,102.46071510132992,59.34565293623706,-50.08634543043655,9.6023073933722,124.47012315296746,110.33820857664978,174.696286423206,163.87489655107146,115.88524926854404,119.4992455030146,105.98811039722733,157.1275204388254,92.36959981298808,92.78151903939835,77.86574819295345,50.488083274261356,41.358326032097324
S10,-7.433471452991114,54.50011020678147,67.95402132420492,-12.994115029755449,7.088064624809931,-202.42522043466948,-153.05463582695467,-150.0227684333595,-156.54449069722887,-83.68118691626591,-205.67063696081078,-153.00258680650103,-159.68315217716622,-241.52575942166976,-146.67735499521228,-164.5747565327227,-200.4080337748313,-205.86810842647552,-173.07222517283094,-140.01271941917537,-39.94031910294815,-3.773707596772091,-18.751694109544246,-17.296814461480015,-17.27883842524158,-15.556128895106491
S11,-10.120422727929679,47.89694144932355,48.040575744799696,-8.285008971590457,-14.223303210961546,-211.28522311287412,-229.91329736598232,-210.6437581328393,-208.51741201374097,-140.81738987107428,-282.5273956965617,-220.50532575629944,-211.48612055604588,-328.5325219679365,-218.9797690750197,-246.63536917968543,-285.82286150701816,-284.2090139849489,-243.88189260211135,-195.39648034642454,-59.13075953210001,-9.766723513263242,-23.528091284898302,-22.69574913232897,-21.777847908456938,-18.304376310811055
S12,-13.91848412146146,27.081212534902477,49.00034360352379,-20.1747480823542,-31.248047748817953,-255.61377289830745,-266.0805884274282,-264.5163928969083,-232.57012626032036,-179.17574344304654,-322.2108141875992,-265.32596534467245,-271.6875327520327,-363.66406826635966,-263.62338618228165,-273.53919303455143,-319.10718419982584,-318.69531132887374,-269.55323218973604,-215.68342388424355,-61.53446126402873,-8.38324874453944,-23.620147114291832,-21.516951881192846,-21.424959557448496,-19.079231070053826
S13,-13.73685856262341,20.414418913283328,48.58999509364281,-18.554895681255346,-38.87306996843165,-291.96218334762847,-297.6299515460781,-306.40143444558987,-261.6496392025667,-224.44120413520352,-369.7021696987335,-312.09841565210894,-315.1985648145015,-394.99660951835125,-262.7817226779996,-306.4707779385145,-340.63640372542284,-336.29215096343046,-286.96812978141395,-288.02521212699264,-95.19270189111583,-19.64918993911491,-33.630028964641625,-32.73323113793825,-32.72181291164489,-29.79020783772168
S14,-14.656330430391051,18.232417559232772,46.44539176756268,-19.580234881722447,-36.072949106156216,-292.6703931918482,-289.20198939975705,-299.59466826324643,-261.3012868710314,-220.70175263682756,-389.73374484345413,-336.74539896964717,-345.87177443280126,-420.72914849780574,-276.631521458377,-330.12053463058777,-365.3400061020733,-372.143889984951,-308.2077683812763,-309.2893864635648,-89.28829692745843,-17.796644951691533,-34.46705858671395,-33.736952960533586,-33.944350962401785,-32.02480628743909
S15,-14.647719371730261,18.07119518495881,46.09162287376023,-21.21077876252997,-38.15635535873696,-292.6192182021836,-289.4802615287304,-305.49149204408366,-261.4168547514879,-216.822216338727,-412.45983625554317,-349.7652473574959,-354.75408522490426,-441.0151435214331,-302.6776658439019,-336.32116886769836,-379.3395773172499,-372.3510885398369,-309.6487818410907,-327.5213010557465,-89.56393531239914,-19.740104140290484,-33.85439478960617,-32.97967423222325,-32.572079988007374,-29.37374243687163
S16,-14.624541249482093,18.09415279966231,46.123960009502696,-20.972828914246122,-43.453671143758754,-292.2497329200411,-289.1289568131654,-305.903710189412,-263.07428052351867,-217.50857914187804,-413.62302577325494,-350.7013287178893,-355.6000878604735,-441.6613168309951,-306.08792890087955,-341.41303203399787,-377.22017929442586,-372.35308500727626,-308.71557623454396,-327.51852891923505,-92.24772796139735,-20.125294878831525,-34.392058624693746,-39.33058186050631,-39.4079345746563,-37.8910315349128
S17,-40.94099679382168,24.575007197363163,73.03440248055182,18.807354949515798,35.15795922601228,55.0531083793544,106.47473914330874,95.34189336324062,76.13662802742027,110.14909957548014,83.80697054777642,-24.263101470708648,15.232287778097486,133.83906391225509,130.2211803661848,168.28661825491764,169.71313123095655,121.89019301691673,121.97908075873087,99.61324183580444,163.24599524517237,90.69916135899558,90.77234842747784,74.37097523369852,56.30011236222754,39.86114790713491
S18,-59.49594733827723,-7.764393960052018,18.421077687946763,-36.21618948170635,-21.387519203400984,-156.38157467645897,-112.63667556956136,-107.02197380258127,-128.01788560732774,-65.05616070678144,-132.01527156029158,-102.17598076420842,-104.37487616059826,-14.46165560927426,55.888004595630036,25.58225346032117,-19.023971456746835,-30.024013496891655,1.5789617930792588,24.68571757847826,6.721565911261607,10.644658571809629,-2.6806994912473847,-2.7747677021272565,-1.3652348962358563,1.5071311295447032
S19,-87.66661855096203,-19.059694274261574,-19.21869663792819,-51.98153383304316,-50.74976494098138,-213.82194246243813,-238.66318299834433,-191.57317755892223,-222.00500216596453,-139.83657443240105,-214.76833949498086,-176.9176377476569,-189.72378149850755,-103.93728013293924,-27.251141115833377,-51.114333272096246,-95.94263036856177,-120.69369170457378,-73.29219439307977,-72.16903872873459,-20.155790378125538,0.562143536890769,-10.29995148216134,-10.58047088485159,-9.48263107915337,-7.785453177770352
S20,-98.36475662424249,-49.646567513157436,-45.26078447783988,-83.32425979255476,-70.21018782573663,-248.31345890814305,-265.35435151596687,-213.46231663471826,-216.30922081767778,-146.18254398421016,-213.95451425601664,-190.0756419065317,-213.07026434099896,-124.83890553176025,-55.15929325282798,-85.90139837996702,-120.48668432185394,-147.1929847217055,-100.08925476507002,-121.19805158135222,-19.686179996401876,-1.3742472805629014,-12.51684545365861,-12.535360513411531,-12.337588755731987,-11.708394515457243
