,solar,onwind,offwind-ac,offwind-dc
2020,53248.63828972471,4755399.868173295,754863.077132123,1424206.458403876
2021,120920.22495866544,8598285.897120032,1138283.289412571,2179147.434361779
2022,102443.47694632201,12265733.842481734,1564511.3099594123,2870821.500246887
2023,99460.33987532905,14185427.9697475,1718409.8769426825,3116686.997628577
2024,130105.04742747708,16514188.094616847,1870701.7875708274,3380442.0399315883
2025,179022.80051498604,19573749.725727495,2064379.383147839,3648502.109211137
2026,270716.5676822157,23602199.774026025,2229395.718824217,3981580.1127200965
2027,322040.2364128544,27066582.219361115,2386005.7548842225,4297771.979335331
2028,379990.66451006895,31525393.489486907,2597510.885342492,4653553.554573961
2029,457077.381665254,35083579.64151926,2730315.7631740915,4919894.0225823205
2030,509098.1948245424,39180091.65935318,2899897.0099272532,5215264.817690775
2031,554612.5874787224,43870785.955124736,3085940.550300763,5502273.925907891
2032,632465.8997307576,47940073.740109116,3217597.266622952,5731883.0210623555
2033,738327.940739515,51572540.92773558,3353822.725728194,6205356.234509634
2034,955448.1690748571,55525355.75352361,3424011.8961515315,6532270.550866086
2035,1118908.2268163592,58809499.71145961,3478605.698377257,6699883.192579271
2036,1408825.013250058,65087169.879013196,3572101.825789734,7067122.783583907
2037,1568150.0691022433,68245846.00292434,3586259.707298209,7156161.948576711
2038,1801468.9916468388,71102838.09263974,3427434.5663131783,7006906.971081544
2039,2084131.0538610243,76500641.37307723,3076070.113771789,6725648.107557664
2040,2420038.3948062435,86175254.93280213,1286645.994626028,4772699.434362505
2041,2820788.561943848,91731041.77745213,1077835.7834934762,3865548.5736553967
2042,3048839.9960174514,92975432.26373549,498741.0375366944,2803237.7760685724
2043,3709909.0455923243,91250798.78352654,212899.47932517057,2550535.5972110583
2044,2764373.984852899,80463018.30185242,82.40252985348016,15886929.69714434
2045,295099.71084628685,132240207.60698089,18528121.451516308,34286371.73601404
2046,65065.014811711386,260374635.96490738,22209436.519485205,57026584.36314238
2047,105683.1084983293,281481830.0545132,22290341.962171845,57921807.277643286
2048,88716.29265643377,285660967.41543573,22321350.934625387,57905810.12068455
2049,63567.24843827356,289226827.5623999,22332209.53439129,57790407.82639369
2050,66463.02801508456,294401391.5653865,22356810.120093428,57690526.481701635
