Scenario,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S1,-5.831256939618557,-280.0878819287311,-258.43380348814105,-161.5010907119041,-11.008010047202532,13.088270382947798,49.585998368096185,-159.35721396647918,-193.92638215636993,-21.425468345241505,1.5485832041921554,-233.31055538628397,149.54163118517448,-238.07139590652682,-488.67727381638474,-181.39229804431966,-49.277453838224794,-308.35614482863605,-1.7588347626551482,-1.5876481898153476,0,0,0,0,0,0
S2,-10.287267970369884,-308.8998192086825,-389.05820722233125,-374.45888491136924,-444.98235629736985,-515.0540335980764,-318.6198168160148,-459.15961306949526,-729.5277886896106,-462.78368085578677,-860.2118608880271,-219.43720556415425,-147.02669976141092,-299.5180570249767,-162.14408565921002,-411.6053305802385,-435.1988937586606,-330.68586383552747,-9.235514101204378,-6.130402571277053,0,0,0,0,0,0
S3,-15.272151046769212,-321.3833585247221,-410.3092846890064,-397.3659477818678,-489.6996750626599,-573.4905612972145,-386.0917482139641,-531.0024840898083,-812.9071155785415,-562.0764406135645,-933.0357329600192,-316.5301005477197,-177.6936245977545,-330.5073532753244,-285.28576733425217,-426.72461104787465,-561.401660168869,-410.3337017319371,-13.952144921337784,-8.759880951207142,0,0,0,0,0,0
S4,-17.596308825930773,-330.04989119158256,-420.44013397014135,-410.9518086881092,-508.255758133747,-598.4461797485236,-436.1494614437493,-610.1823772960823,-851.5127368189734,-605.2647124997836,-991.474128051319,-388.5157285141503,-283.5043433709608,-419.6715269589406,-317.560216264396,-517.6831666405545,-609.3504243398478,-532.7183298375111,-24.35897337795567,-15.37391234739153,0,0,0,0,0,0
S5,-17.800796069189662,-336.130269943788,-428.85060315472634,-420.4354036175868,-553.9042670696749,-622.4148510719419,-447.0051725594386,-646.2348088816965,-904.780572699993,-651.242692948145,-1035.6284136699232,-482.33047682974205,-366.4308473059492,-501.39665866630787,-325.39606060411774,-470.9107540390685,-614.5581806256857,-563.6862418286617,-29.9209805155336,-20.925655010192486,0,0,0,0,0,0
S6,-17.827249404886558,-336.77318329851437,-430.12626645956647,-423.08948833405856,-558.7382431289471,-627.6816353276721,-454.79395875392026,-657.416122311397,-936.8234262613865,-671.1712636414173,-1081.3393663197185,-518.510417001627,-439.5698275411375,-525.0480507192306,-377.2444024670438,-522.228688812862,-673.1174583429347,-576.3572258138314,-33.843355686641985,-22.607551266729757,0,0,0,0,0,0
S7,-17.84841569928569,-336.85061170977093,-430.0562035327462,-423.0481069045289,-558.9926409953624,-628.3162574217149,-455.062085928172,-657.2479252920616,-935.8707916033815,-666.3936071242978,-1080.4402963455261,-555.7533686114047,-459.9159118691656,-548.9839314303734,-405.69094722860035,-545.0667050443227,-686.9682030589192,-610.400900910661,-36.3307092531906,-23.806692967811554,0,0,0,0,0,0
S8,-17.768138468380656,-336.88430991083584,-430.0987439528377,-423.03332881764175,-558.9676448259996,-628.3302498072904,-455.014313802943,-656.6956753351221,-934.4042907117132,-665.1917499219237,-1079.9469645996735,-551.2192895007413,-457.8097196502746,-537.382227572012,-401.79036599577955,-555.9653141253938,-682.9887101762893,-608.0095585938432,-35.505591227322995,-23.49200818066842,0,0,0,0,0,0
S9,-16.7276095621558,-293.5615861524399,-259.8431253359217,-190.6778359309822,-52.80945448995844,1.631375277876046,36.60752132017464,-68.70993091414857,-92.7621783227801,35.97591940189648,35.18512011705788,-193.146740138598,138.49116326178645,-221.0867811301025,-439.86044648106406,-95.21912728800874,90.26679771037927,-304.75606682977843,0.2520489714332719,-0.40489020415182664,0,0,0,0,0,0
S10,-34.63883771578441,-332.7925494618529,-410.71347692127836,-409.580494941344,-471.21958239421156,-498.72759815139034,-406.90807932849094,-416.80173671668183,-616.5886351405403,-383.58479124500724,-712.5205148395208,-174.0587665544142,-90.08784721851626,-191.54931384354956,-40.014177667860196,-191.6959623995309,-335.62366416313426,-242.98933572176475,-4.017828952428637,-3.988906553230539,0,0,0,0,0,0
