,PHS,hydro,battery,H2
2020,7659.62,169.5,0.023306258639830893,0.017263205788882987
2021,7659.62,169.5,0.030290145018437388,0.021795516136490552
2022,7659.62,169.5,0.042312860709436864,0.029182246719058693
2023,7659.62,169.5,0.05625184321704712,0.038097815345990584
2024,7659.62,169.5,0.0687103824345814,0.045569522290437495
2025,7659.62,169.5,0.08229984504637206,0.05331252773979584
2026,7659.62,169.5,0.10411251966922973,0.06507155405019163
2027,7659.62,169.5,0.13726523941380658,0.07645210131865043
2028,7659.62,169.5,0.18078082149285546,0.09106156080925396
2029,7659.62,169.5,0.22561057548639948,0.10428508988589942
2030,7659.62,169.5,0.3021018305295915,0.12010128593713913
2031,7659.62,169.5,0.44930721448884037,0.14047920766437907
2032,7659.62,169.5,278.0703609417712,0.17377456004500488
2033,7659.62,169.5,2749.2303149934864,0.20360460198557068
2034,7659.62,169.5,5135.344354351066,0.22699489726757305
2035,7659.62,169.5,7668.363121475533,0.2619756916810398
2036,7659.62,169.5,10862.721778439154,0.33242124706659665
2037,7659.62,169.5,11696.826660716733,0.3836001474534252
2038,7659.62,169.5,12640.508470957584,0.4190415355911938
2039,7659.62,169.5,14004.758288639669,0.5107282237683985
2040,7659.62,169.5,15757.599097499655,1.8785808629080034
2041,7659.62,169.5,17692.93499227383,1213.0057989090296
2042,7659.62,169.5,20084.089531147267,3234.509257102787
2043,7659.62,169.5,26800.25416862815,11196.177809388872
2044,7659.62,169.5,26800.40337911849,24522.98484867969
2045,7659.62,169.5,48800.32720723246,46522.96386287877
2046,7659.62,169.5,70800.18000405769,68522.94025973615
2047,7659.62,169.5,70522.8965642348,68522.9869560121
2048,7659.62,169.5,68051.75242686503,68522.9815306252
2049,7659.62,169.5,65665.65713178355,68522.98914268709
2050,7659.62,169.5,63132.642013180404,68522.9743168878
